LU0301,LU0201,LU0101,LU0102,LU0105,LU0103,LU0104,LU0302,LU0304,LU0305,LU0303,Grass_cover,Small_woods_cover,Trees_cover,Trees_mean_density,Non_class_surf,Imper_surf,Perm_surf,Non_cons_surf,Hardwood,Coniferous,Shrubs,Periodic_herb,Permanent_herb,Permanent_water,Wetlands,Old_people_perc,IMED,IFQ,ITQ,PI1,PI2,PI3,PI4,TI1,TI2,TI3,TI4,frequency_NO2,exposure_NO2,intensity_NO2,frequency_O3,exposure_O3,intensity_O3,frequency_PM10,exposure_PM10,intensity_PM10,frequency_CO,exposure_CO,intensity_CO,Label
0.033244015,0.723741966,0.068763333,0.117383935,0.027534435,0.016989531,0.002147939,0.00707673,0.000397951,0.002720165,0.0,0.1690859086500347,0.3780543053082529,0.0544144292424214,0.724603944731568,0.081745039099231,0.1099480245751575,0.0108071269131399,0.0,0.0368521305944086,0.0008092431729966,0.0001607007719426,0.5796878595899481,0.1784869038086769,0.0022785073736147,0.0,0.1486231101511879,27342.99,10628.72,70695.6,0.2105159897979203,0.4794977437708456,0.2913478516774573,0.0186384147537767,0.0425179499827736,0.3842999031880554,0.4671032929902718,0.1060788538388991,4,-0.208,-0.833,28,1.179,33.017,49,1.692,82.906,0,-0.658,-0.0,0
0.033244015,0.723741966,0.068763333,0.117383935,0.027534435,0.016989531,0.002147939,0.00707673,0.000397951,0.002720165,0.0,0.1690859086500347,0.3780543053082529,0.0544144292424214,0.724603944731568,0.081745039099231,0.1099480245751575,0.0108071269131399,0.0,0.0368521305944086,0.0008092431729966,0.0001607007719426,0.5796878595899481,0.1784869038086769,0.0022785073736147,0.0,0.1550744248985115,27387.41,10667.02,70325.68,0.216910312129593,0.4687870406953773,0.2937574081390754,0.0205452390359541,0.0436099844891211,0.3771344406023393,0.4683176997898819,0.1109378751186574,0,-0.287,-0.0,31,0.934,28.951,46,1.614,74.243,0,-0.649,-0.0,0
0.033244015,0.723741966,0.068763333,0.117383935,0.027534435,0.016989531,0.002147939,0.00707673,0.000397951,0.002720165,0.0,0.1690859086500347,0.3780543053082529,0.0544144292424214,0.724603944731568,0.081745039099231,0.1099480245751575,0.0108071269131399,0.0,0.0368521305944086,0.0008092431729966,0.0001607007719426,0.5796878595899481,0.1784869038086769,0.0022785073736147,0.0,0.1613817298610174,27564.63,10818.4,70795.18,0.2089434111594776,0.462010288880095,0.3070834982192323,0.021962801741195,0.0395855663038034,0.3626478800179235,0.4821599725875748,0.1156065810906982,3,-0.203,-0.61,29,1.062,30.801,50,2.007,100.333,0,-0.574,-0.0,0
0.033244015,0.723741966,0.068763333,0.117383935,0.027534435,0.016989531,0.002147939,0.00707673,0.000397951,0.002720165,0.0,0.1690859086500347,0.3780543053082529,0.0544144292424214,0.724603944731568,0.081745039099231,0.1099480245751575,0.0108071269131399,0.0,0.0368521305944086,0.0008092431729966,0.0001607007719426,0.5796878595899481,0.1784869038086769,0.0022785073736147,0.0,0.1672069151809832,27616.7,10708.2,70863.12,0.1964356435643564,0.4738613861386138,0.3089108910891089,0.0207920792079207,0.0389490030554211,0.3720317339341968,0.4839566546575877,0.1050626083527943,2,-0.225,-0.449,30,1.249,37.462,48,1.453,69.756,0,-0.675,-0.0,0
0.034898818,0.244796592,0.281733809,0.23127634,0.099570135,0.065830224,0.018411251,0.016187703,0.0,0.007295128,0.0,0.1324524071064863,0.3832480254427942,0.0855719622167315,0.6902805520246961,0.1932633521101505,0.3219709175797687,0.0112034473866467,0.0,0.0500115054284638,0.0017791882465617,0.0001243100958296,0.1869235372228386,0.2291812004239284,0.0066039738409498,0.0,0.1959293577255088,27643.89,10704.09,70045.02,0.1872756392555365,0.4749544375103551,0.3115369746506876,0.0262329485834207,0.0361946193712872,0.3558569529647393,0.4716163644410096,0.1363320632229638,7,-0.166,-1.162,28,1.072,30.011,48,1.394,66.93,0,-0.599,-0.0,1
0.034898818,0.244796592,0.281733809,0.23127634,0.099570135,0.065830224,0.018411251,0.016187703,0.0,0.007295128,0.0,0.1324524071064863,0.3832480254427942,0.0855719622167315,0.6902805520246961,0.1932633521101505,0.3219709175797687,0.0112034473866467,0.0,0.0500115054284638,0.0017791882465617,0.0001243100958296,0.1869235372228386,0.2291812004239284,0.0066039738409498,0.0,0.2003620764296115,27747.06,10656.68,70274.85,0.1879526003949967,0.466919025674786,0.3191792846170726,0.0259490893131446,0.0345914632455214,0.3465274922412061,0.4793962079004489,0.1394848366128235,2,-0.167,-0.334,29,0.825,23.931,49,1.476,72.346,0,-0.603,-0.0,1
0.034898818,0.244796592,0.281733809,0.23127634,0.099570135,0.065830224,0.018411251,0.016187703,0.0,0.007295128,0.0,0.1324524071064863,0.3832480254427942,0.0855719622167315,0.6902805520246961,0.1932633521101505,0.3219709175797687,0.0112034473866467,0.0,0.0500115054284638,0.0017791882465617,0.0001243100958296,0.1869235372228386,0.2291812004239284,0.0066039738409498,0.0,0.2070659435667688,27797.12,10641.78,70280.43,0.184638916202338,0.4484868349175134,0.3391237845515131,0.0277504643286354,0.0335602451497245,0.326491460558994,0.5031012946084672,0.1368469996828143,5,-0.12,-0.601,30,1.17,35.106,51,2.425,123.697,0,-0.5,-0.0,1
0.034898818,0.244796592,0.281733809,0.23127634,0.099570135,0.065830224,0.018411251,0.016187703,0.0,0.007295128,0.0,0.1324524071064863,0.3832480254427942,0.0855719622167315,0.6902805520246961,0.1932633521101505,0.3219709175797687,0.0112034473866467,0.0,0.0500115054284638,0.0017791882465617,0.0001243100958296,0.1869235372228386,0.2291812004239284,0.0066039738409498,0.0,0.2114551327503348,27771.04,10647.76,70181.73,0.1837011332212763,0.4479206202895407,0.3386108550669631,0.0297673914222198,0.032718470847298,0.3225671669370208,0.4959809382747067,0.1487334239409744,2,-0.2,-0.401,30,1.257,37.703,45,1.846,83.085,0,-0.612,-0.0,1
0.293814743,0.315702881,0.220050429,0.115728208,0.016277083,0.025556653,0.005055228,0.007631397,0.0,0.000183377,0.0,0.1158411345159283,0.2902484264391333,0.3028930886739414,0.811565779803028,0.1200174349301008,0.1782986422025085,0.0124843777839443,0.0,0.2589929585206992,0.0035529719941467,0.0002315219845809,0.170676226094765,0.2564462166903083,8.014222543188218e-05,0.0,0.1825284861638632,27412.05,10832.89,69908.5,0.1929958709282765,0.5363205383086099,0.2530968037926288,0.0175867869704847,0.0429413060483503,0.441021803483643,0.4153525501554339,0.1006843403125727,0,-0.433,-0.0,30,1.357,40.716,43,1.238,53.213,0,-0.663,-0.0,0
0.293814743,0.315702881,0.220050429,0.115728208,0.016277083,0.025556653,0.005055228,0.007631397,0.0,0.000183377,0.0,0.1158411345159283,0.2902484264391333,0.3028930886739414,0.811565779803028,0.1200174349301008,0.1782986422025085,0.0124843777839443,0.0,0.2589929585206992,0.0035529719941467,0.0002315219845809,0.170676226094765,0.2564462166903083,8.014222543188218e-05,0.0,0.1897297297297297,27419.8,10803.26,69660.53,0.1959077721789586,0.5278668499007482,0.2572911894945793,0.0189341884257138,0.0404208501744216,0.4291471784328166,0.4165174746482697,0.113914496744492,0,-0.484,-0.0,34,1.184,40.243,43,1.282,55.114,0,-0.616,-0.0,0
